,train_loss,train_acc,val_loss,val_acc,total_params,total_flops,filters_in_conv1,filters_in_conv2
0,0.010445339739555493,0.9966833333333334,0.026017862867721123,0.9923,431080,4586000,20,50
1,0.0036423017927018613,0.9988,0.03581438156612098,0.9918,202542,1238800,8,24
2,0.0002806716415561823,0.9999833333333333,0.04889650609366729,0.9918,135656,666000,5,16
3,0.000276613327388471,0.9999833333333333,0.052476464403918024,0.9915,110927,499600,4,13
4,0.006632086622803278,0.9978,0.06231890696274759,0.9885,78272,326800,3,9
5,0.004190148201472524,0.9989166666666667,0.08604461567038925,0.9865,54044,250000,3,6
6,0.0003003845823889606,0.9999833333333333,0.09261050763219121,0.9867,45968,224400,3,5
7,0.0005579920776920517,0.9999666666666667,0.10840326061891903,0.9856,37892,198800,3,4
8,0.019326857516666254,0.9939666666984558,0.09816834806803382,0.9772,21740,147600,3,2
9,0.08624334233204524,0.9706666666348776,0.18473725097477436,0.9488,13613,90000,2,1
