,train_loss,train_acc,val_loss,val_acc,total_params,total_flops,filters_in_conv1,filters_in_conv2
0,0.010713264177708575,0.9965,0.024150741849729093,0.9931,431080,4586000,20,50
1,0.004129429198132129,0.9987166666666667,0.03434642804224095,0.993,243547,1446800,8,29
2,0.002010516210940356,0.9994333333333333,0.03670258911807568,0.9922,152384,816400,6,18
3,0.00033703607670031486,0.9999833333333333,0.05975504405581832,0.9901,102826,470800,4,12
4,0.00027257712633809204,0.9999833333333333,0.0708932930450941,0.9911,94424,378000,3,11
