,train_loss,train_acc,val_loss,val_acc,conv_params,conv_flops,total_params,total_flops,filters_in_conv1,filters_in_conv2
0,0.00877019799388945,0.9971,0.024234359644107462,0.9927,25570,3776000,431080,4586000,20,50
1,0.0002762987504049003,0.9999833333333333,0.04169666549946071,0.9934,11245,1792000,264755,2298000,14,31
2,0.00027233673182048125,0.9999833333333333,0.04696866186962218,0.9925,5658,950400,203168,1344400,9,24
3,0.0015744086388726525,0.9995,0.05942030322977648,0.9903,2118,448000,95628,634000,7,11
4,0.0003562109076034555,0.9999833333333333,0.06631294537903161,0.9891,912,217600,70422,355600,4,8
5,0.003164294359018095,0.9991833333333333,0.06261641425271809,0.987,307,89600,45817,179600,2,5
6,0.007763187988921224,0.9974999999682108,0.08303565809092397,0.9849,256,83200,37766,157200,2,4
7,0.003044427060203937,0.9993666666666666,0.12341564014495944,0.9791,205,76800,29715,134800,2,3
8,0.0005530494114354345,0.9999666666666667,0.14334805230453404,0.9822,205,76800,29715,134800,2,3
