,epoch,train_loss,train_acc,val_loss,val_acc,total_params,total_flops,filters_in_conv1,filters_in_conv2
0,11,0.009546167453797534,0.99665,0.02355780392193701,0.9928,431080,4586000,20,50
1,11,0.0022785605853907326,0.99935,0.04174237641561449,0.9932,401974,3808400,17,47
2,21,0.0023720621193296515,0.99935,0.04286487672124617,0.9939,391196,3386000,15,46
3,21,0.001971912973167764,0.9995666666666667,0.04573493880436431,0.9938,381669,3149200,14,45
4,61,0.0002742751906149048,0.9999833333333333,0.06073156822388846,0.9939,372192,2918800,13,44
